"Data.File.Name","Data.File.Description","Component","Begin.Year","EndYear"
"L02HBS","Hepatitis B Surface Antibody","Laboratory",1999,2000
"L02HPA_A","Hepatitis A Antibody","Laboratory",1999,2000
"LAB02","Hepatitis B: Core Antibody & Surface Antigen; Hepatitis C: Confirmed Antibody & RNA (HCV-RNA); Hepatitis D Antibody","Laboratory",1999,2000
"LAB03","HIV Antibody Test, CD4+ T Lymphocytes & CD8+ T Cells","Laboratory",1999,2000
"LAB04","Volatile Organic Compounds - Blood & Water","Laboratory",1999,2000
"LAB05","Chlamydia & Gonorrhea - Urine","Laboratory",1999,2000
"LAB06","Cadmium, Lead, Mercury, Cotinine & Nutritional Biochemistries","Laboratory",1999,2000
"LAB06HM","Metals - Urine","Laboratory",1999,2000
"LAB07","Latex","Laboratory",1999,2000
"LAB09","Herpes Simplex Virus Type-1 & Type-2","Laboratory",1999,2000
"LAB10","Glycohemoglobin","Laboratory",1999,2000
"LAB10AM","Plasma Fasting Glucose, Serum C-peptide & Insulin","Laboratory",1999,2000
"LAB11","C-Reactive Protein (CRP)","Laboratory",1999,2000
"LAB13","Cholesterol - Total & HDL","Laboratory",1999,2000
"LAB13AM","Cholesterol - LDL & Triglycerides","Laboratory",1999,2000
"LAB16","Albumin & Creatinine - Urine","Laboratory",1999,2000
"LAB17","Cryptosporidum & Toxoplasma","Laboratory",1999,2000
"LAB18","Standard Biochemistry Profile & Hormones","Laboratory",1999,2000
"LAB18T4","Thyroid - Stimulating Hormone & Thyroxine (TSH & T4)","Laboratory",1999,2000
"LAB19","Measles, Rubella, & Varicella","Laboratory",1999,2000
"LAB20","Lead - Dust","Laboratory",1999,2000
"LAB21","Volatile Organic Compounds (VOC) - Personal Exposure Badge","Laboratory",1999,2000
"LAB22","Mercury - Hair","Laboratory",1999,2000
"LAB25","Complete Blood Count with 5-part Differential - Whole Blood","Laboratory",1999,2000
"LAB26PP","Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)","Laboratory",1999,2000
"LAB28POC","Dioxins, Furans, & Coplanar PCBs","Laboratory",1999,2000
"PH","Fasting Questionnaire","Laboratory",1999,2000
"PHPYPA","Phthalates, Phytoestrogens & PAHs - Urine PHPYPA Urinary Phthalates","Laboratory",1999,2000
"SSAFB_A","Aflatoxin B1-lysine - Serum (Surplus)","Laboratory",1999,2000
"SSAMH_A","Anti-Mullerian Hormone (AMH) & Inhibin-B (Surplus)","Laboratory",1999,2000
"SSANA_A","Autoantibodies - Immunofluorescence & Immunoprecipitation Analyses (Surplus)","Laboratory",1999,2004
"SSANA2_A","Autoantibodies - Immunofluorescence Analyses (Surplus)","Laboratory",1999,2004
"SSBNP_A","N-terminal Pro-BNP (Surplus)","Laboratory",1999,2004
"SSCARD_A","Glycated albumin, Beta-2 Microglobulin, Cystatin C (Surplus)","Laboratory",1999,2004
"SSCHL_A","Sex Steroid Hormone - Men (Surplus)","Laboratory",1999,2000
"SSCMV_A","Cytomegalovirus Antibodies - Serum (Surplus)","Laboratory",1999,2000
"SSCMVG_A","Cytomegalovirus Genotypes - Urine (Surplus)","Laboratory",1999,2004
"SSCYST_A","Cystatin C - Serum (Surplus)","Laboratory",1999,2000
"SSDFS_A","Autoantibodies - Anti-DFS70 Autoantibody Analyses (Surplus)","Laboratory",1999,2004
"SSFOL_A","Folic Acid - Unmetabolized (Surplus)","Laboratory",1999,2000
"SSHSV1_A","Herpes Simplex Virus Type-1 (Surplus)","Laboratory",1999,2000
"SSMUMP_A","Mumps Antibody - Serum (Surplus)","Laboratory",1999,2000
"SSNORO_A","Norovirus antibody - Serum","Laboratory",1999,2000
"SSOL_A","Monoclonal gammopathy of undetermined significance (MGUS) (Surplus)","Laboratory",1999,2000
"SSPFC_A","Perfluoroalkyl Chemicals - Serum (Surplus)","Laboratory",1999,2000
"SSTFR_A","Transferrin Receptor - Pregnant Women (Surplus)","Laboratory",1999,2000
