Gender,Age_Group,Race_or_Ethnicity,Education,SBP,BMI,Smoker,TC,FPG,user_n
Female,40-59,NH White,<HSG,SBP<120,Normal weight,No smoke,Normal TC,Glucose>=126,1
Female,40-59,NH White,<HSG,SBP<120,Obese,No smoke,High TC,Glucose 100-125,1
Female,40-59,NH White,<HSG,SBP<120,Obese,No smoke,High TC,NA,1
Female,40-59,NH White,<HSG,SBP<120,Obese,No smoke,Normal TC,Glucose 100-125,1
Female,40-59,NH White,<HSG,SBP<120,Obese,No smoke,NA,NA,1
Female,40-59,NH White,<HSG,SBP<120,Obese,Smoke,High TC,Glucose>=126,1
Female,40-59,NH White,<HSG,SBP 120-129,Normal weight,No smoke,Normal TC,Glucose<100,1
Female,40-59,NH White,<HSG,SBP 120-129,Normal weight,Smoke,High TC,Glucose<100,1
Female,40-59,NH White,<HSG,SBP 120-129,Overweight,No smoke,High TC,Glucose<100,1
Female,40-59,NH White,<HSG,SBP 120-129,Overweight,Smoke,High TC,Glucose<100,1
Female,40-59,NH White,<HSG,SBP 120-129,Obese,No smoke,High TC,Glucose<100,2
Female,40-59,NH White,<HSG,SBP 120-129,Obese,No smoke,High TC,Glucose 100-125,1
Female,40-59,NH White,<HSG,SBP 120-129,Obese,No smoke,High TC,Glucose>=126,3
Female,40-59,NH White,<HSG,SBP 120-129,Obese,No smoke,High TC,NA,1
Female,40-59,NH White,<HSG,SBP 120-129,Obese,No smoke,Normal TC,Glucose 100-125,1
Female,40-59,NH White,<HSG,SBP 120-129,Obese,Smoke,Normal TC,Glucose 100-125,1
Female,40-59,NH White,<HSG,SBP 120-129,Obese,Smoke,NA,NA,1
Female,40-59,NH White,<HSG,SBP 120-129,NA,No smoke,Normal TC,Glucose<100,1
Female,40-59,NH White,<HSG,SBP 130-139,Underweight,Smoke,Normal TC,Glucose 100-125,1
Female,40-59,NH White,<HSG,SBP 130-139,Normal weight,No smoke,High TC,Glucose<100,1
Female,40-59,NH White,<HSG,SBP 130-139,Normal weight,No smoke,High TC,Glucose>=126,1
Female,40-59,NH White,<HSG,SBP 130-139,Normal weight,Smoke,High TC,Glucose<100,3
Female,40-59,NH White,<HSG,SBP 130-139,Overweight,No smoke,High TC,NA,1
Female,40-59,NH White,<HSG,SBP 130-139,Overweight,No smoke,Normal TC,Glucose>=126,1
Female,40-59,NH White,<HSG,SBP 130-139,Overweight,Smoke,High TC,Glucose<100,1
Female,40-59,NH White,<HSG,SBP 130-139,Overweight,Smoke,High TC,Glucose 100-125,1
Female,40-59,NH White,<HSG,SBP 130-139,Overweight,Smoke,High TC,Glucose>=126,2
Female,40-59,NH White,<HSG,SBP 130-139,Overweight,Smoke,High TC,NA,1
Female,40-59,NH White,<HSG,SBP 130-139,Obese,No smoke,High TC,Glucose<100,2
