Gender,Age_Group,Race_or_Ethnicity,Education,SBP,BMI,Smoker,TC,FPG,user_n
Female,40-59,NH White,HSG/GED,SBP 130-139,Overweight,No smoke,Normal TC,Glucose 100-125,1
Female,40-59,NH White,HSG/GED,SBP 130-139,Overweight,No smoke,Normal TC,NA,1
Female,40-59,NH White,HSG/GED,SBP 130-139,Obese,No smoke,High TC,Glucose<100,1
Female,40-59,NH White,HSG/GED,SBP 130-139,Obese,Smoke,High TC,Glucose<100,2
Female,40-59,NH White,HSG/GED,SBP>=140,Normal weight,No smoke,High TC,Glucose 100-125,1
Female,40-59,NH White,HSG/GED,SBP>=140,Normal weight,Smoke,High TC,Glucose<100,1
Female,40-59,NH White,HSG/GED,SBP>=140,Normal weight,Smoke,High TC,Glucose 100-125,1
Female,40-59,NH White,HSG/GED,SBP>=140,Overweight,No smoke,High TC,Glucose<100,1
Female,40-59,NH White,HSG/GED,SBP>=140,Overweight,No smoke,High TC,NA,1
Female,40-59,NH White,HSG/GED,SBP>=140,Overweight,No smoke,Normal TC,Glucose 100-125,1
Female,40-59,NH White,HSG/GED,SBP>=140,Overweight,No smoke,NA,Glucose<100,1
Female,40-59,NH White,HSG/GED,SBP>=140,Overweight,Smoke,High TC,Glucose<100,1
Female,40-59,NH White,HSG/GED,SBP>=140,Obese,No smoke,High TC,Glucose<100,1
Female,40-59,NH White,HSG/GED,SBP>=140,Obese,No smoke,Normal TC,Glucose<100,1
Female,40-59,NH White,HSG/GED,SBP>=140,Obese,No smoke,NA,NA,1
Female,40-59,NH White,Some college/TS,SBP 130-139,Overweight,No smoke,High TC,Glucose<100,2
Female,40-59,NH White,Some college/TS,SBP 130-139,Overweight,No smoke,High TC,NA,1
Female,40-59,NH White,Some college/TS,SBP 130-139,Overweight,No smoke,Normal TC,Glucose<100,1
Female,40-59,NH White,Some college/TS,SBP 130-139,Overweight,Smoke,High TC,Glucose<100,3
Female,40-59,NH White,Some college/TS,SBP 130-139,Overweight,Smoke,High TC,Glucose 100-125,1
Female,40-59,NH White,Some college/TS,SBP 130-139,Obese,No smoke,High TC,Glucose<100,2
Female,40-59,NH White,Some college/TS,SBP 130-139,Obese,No smoke,Normal TC,Glucose<100,1
Female,40-59,NH White,Some college/TS,SBP 130-139,Obese,No smoke,Normal TC,Glucose 100-125,1
Female,40-59,NH White,Some college/TS,SBP 130-139,Obese,Smoke,High TC,Glucose<100,4
Female,40-59,NH White,Some college/TS,SBP 130-139,Obese,Smoke,High TC,Glucose 100-125,1
Female,40-59,NH White,Some college/TS,SBP 130-139,Obese,Smoke,Normal TC,Glucose<100,1
Female,40-59,NH White,Some college/TS,SBP>=140,Normal weight,No smoke,High TC,Glucose<100,3
Female,40-59,NH White,Some college/TS,SBP>=140,Normal weight,Smoke,High TC,Glucose<100,3
Female,40-59,NH White,Some college/TS,SBP>=140,Normal weight,Smoke,High TC,Glucose 100-125,1
