RXDDRGID,RXDDRUG,RXDINGFL,RXDDCI1A,RXDDCI1B,RXDDCI1C,RXDDCI2A,RXDDCI2B,RXDDCI2C,RXDDCI3A,RXDDCI3B,RXDDCI3C,RXDDCI4A,RXDDCI4B,RXDDCI4C,RXDICI1A,RXDICI1B,RXDICI1C,RXDICI2A,RXDICI2B,RXDICI2C,RXDICI3A,RXDICI3B,RXDICI3C,RXDICI4A,RXDICI4B,RXDICI4C,RXDICI5A,RXDICI5B,RXDICI5C,RXDICI6A,RXDICI6B,RXDICI6C,RXDDCN1A,RXDDCN1B,RXDDCN1C,RXDDCN2A,RXDDCN2B,RXDDCN2C,RXDDCN3A,RXDDCN3B,RXDDCN3C,RXDDCN4A,RXDDCN4B,RXDDCN4C,RXDICN1A,RXDICN1B,RXDICN1C,RXDICN2A,RXDICN2B,RXDICN2C,RXDICN3A,RXDICN3B,RXDICN3C,RXDICN4A,RXDICN4B,RXDICN4C,RXDICN5A,RXDICN5B,RXDICN5C,RXDICN6A,RXDICN6B,RXDICN6C
a10061,BILE SALTS; PANCREATIN; PEPSIN,2,87,96,,,,,,,,,,,87,91,,87,92,,,,,,,,,,,,,,GASTROINTESTINAL AGENTS,MISCELLANEOUS GI AGENTS,,,,,,,,,,,GASTROINTESTINAL AGENTS,DIGESTIVE ENZYMES,,GASTROINTESTINAL AGENTS,GALLSTONE SOLUBILIZING AGENTS,,,,,,,,,,,,,
a10129,CALCIUM IODIDE; CODEINE,2,122,124,,,,,,,,,,,57,58,60,105,110,,,,,,,,,,,,,,RESPIRATORY AGENTS,ANTITUSSIVES,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,MISCELLANEOUS AGENTS,MISCELLANEOUS UNCATEGORIZED AGENTS,,,,,,,,,,,,,
a10899,ESTRADIOL; ESTRIOL; ESTRONE,2,97,101,187,,,,,,,,,,97,101,183,97,101,187,,,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,MISCELLANEOUS SEX HORMONES,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,HORMONES/HORMONE MODIFIERS,SEX HORMONES,MISCELLANEOUS SEX HORMONES,,,,,,,,,,,,
a10900,ESTRADIOL; ESTRIOL,2,97,101,187,,,,,,,,,,97,101,183,,,,,,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,MISCELLANEOUS SEX HORMONES,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,,,,,,,,,,,,,,,
a11077,HYDROCHLOROTHIAZIDE; LABETALOL,2,40,55,472,,,,,,,,,,40,47,275,40,49,156,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANTIHYPERTENSIVE COMBINATIONS,BETA BLOCKERS WITH THIAZIDES,,,,,,,,,,CARDIOVASCULAR AGENTS,BETA-ADRENERGIC BLOCKING AGENTS,"BETA BLOCKERS, NON-CARDIOSELECTIVE",CARDIOVASCULAR AGENTS,DIURETICS,THIAZIDE AND THIAZIDE-LIKE DIURETICS,,,,,,,,,,,,
a11122,ACETAMINOPHEN; CHLORZOXAZONE,2,57,73,179,,,,,,,,,,57,58,59,57,73,178,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,MUSCLE RELAXANTS,SKELETAL MUSCLE RELAXANT COMBINATIONS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,MISCELLANEOUS ANALGESICS,CENTRAL NERVOUS SYSTEM AGENTS,MUSCLE RELAXANTS,SKELETAL MUSCLE RELAXANTS,,,,,,,,,,,,
a11179,IODINATED GLYCEROL; THEOPHYLLINE,2,122,131,,,,,,,,,,,122,125,126,122,128,,,,,,,,,,,,,,RESPIRATORY AGENTS,ANTIASTHMATIC COMBINATIONS,,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,METHYLXANTHINES,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,,,,
a11273,DEXTROMETHORPHAN; IODINATED GLYCEROL,2,122,132,,,,,,,,,,,122,124,,122,128,,,,,,,,,,,,,,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,,,,
a11284,ETHINYL ESTRADIOL; FERROUS FUMARATE; NORETHINDRONE,2,97,101,102,,,,,,,,,,97,101,183,97,101,185,115,116,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,CONTRACEPTIVES,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,HORMONES/HORMONE MODIFIERS,SEX HORMONES,PROGESTINS,NUTRITIONAL PRODUCTS,IRON PRODUCTS,,,,,,,,,,
a11457,CYANOCOBALAMIN; PYRIDOXINE; THIAMINE,2,115,119,,,,,,,,,,,115,119,,,,,,,,,,,,,,,,,NUTRITIONAL PRODUCTS,VITAMINS,,,,,,,,,,,NUTRITIONAL PRODUCTS,VITAMINS,,,,,,,,,,,,,,,,
