"","Gender","Age_Group","Race_or_Ethnicity","Education","SBP","BMI","Smoker","background_n"
"1","Male","18-44","NH White","<HSG","SBP<120","Underweight","Smoke",0
"2","Female","18-44","NH White","<HSG","SBP<120","Underweight","Smoke",0
"3","Male","45-64","NH White","<HSG","SBP<120","Underweight","Smoke",0
"4","Female","45-64","NH White","<HSG","SBP<120","Underweight","Smoke",0
"5","Male","64+","NH White","<HSG","SBP<120","Underweight","Smoke",0
"6","Female","64+","NH White","<HSG","SBP<120","Underweight","Smoke",0
"7","Male","18-44","NH Black","<HSG","SBP<120","Underweight","Smoke",0
"8","Female","18-44","NH Black","<HSG","SBP<120","Underweight","Smoke",0
"9","Male","45-64","NH Black","<HSG","SBP<120","Underweight","Smoke",0
"10","Female","45-64","NH Black","<HSG","SBP<120","Underweight","Smoke",0
"11","Male","64+","NH Black","<HSG","SBP<120","Underweight","Smoke",0
"12","Female","64+","NH Black","<HSG","SBP<120","Underweight","Smoke",0
"13","Male","18-44","Hispanic","<HSG","SBP<120","Underweight","Smoke",0
"14","Female","18-44","Hispanic","<HSG","SBP<120","Underweight","Smoke",0
"15","Male","45-64","Hispanic","<HSG","SBP<120","Underweight","Smoke",0
"16","Female","45-64","Hispanic","<HSG","SBP<120","Underweight","Smoke",0
"17","Male","64+","Hispanic","<HSG","SBP<120","Underweight","Smoke",0
"18","Female","64+","Hispanic","<HSG","SBP<120","Underweight","Smoke",0
"19","Male","18-44","Other","<HSG","SBP<120","Underweight","Smoke",0
"20","Female","18-44","Other","<HSG","SBP<120","Underweight","Smoke",0
"21","Male","45-64","Other","<HSG","SBP<120","Underweight","Smoke",33473
"22","Female","45-64","Other","<HSG","SBP<120","Underweight","Smoke",0
"23","Male","64+","Other","<HSG","SBP<120","Underweight","Smoke",0
"24","Female","64+","Other","<HSG","SBP<120","Underweight","Smoke",0
"25","Male","18-44","NH White","HSG/GED","SBP<120","Underweight","Smoke",0
"26","Female","18-44","NH White","HSG/GED","SBP<120","Underweight","Smoke",0
"27","Male","45-64","NH White","HSG/GED","SBP<120","Underweight","Smoke",0
"28","Female","45-64","NH White","HSG/GED","SBP<120","Underweight","Smoke",0
"29","Male","64+","NH White","HSG/GED","SBP<120","Underweight","Smoke",0
"30","Female","64+","NH White","HSG/GED","SBP<120","Underweight","Smoke",0
"31","Male","18-44","NH Black","HSG/GED","SBP<120","Underweight","Smoke",0
"32","Female","18-44","NH Black","HSG/GED","SBP<120","Underweight","Smoke",0
"33","Male","45-64","NH Black","HSG/GED","SBP<120","Underweight","Smoke",0
"34","Female","45-64","NH Black","HSG/GED","SBP<120","Underweight","Smoke",0
"35","Male","64+","NH Black","HSG/GED","SBP<120","Underweight","Smoke",0
"36","Female","64+","NH Black","HSG/GED","SBP<120","Underweight","Smoke",0
"37","Male","18-44","Hispanic","HSG/GED","SBP<120","Underweight","Smoke",0
"38","Female","18-44","Hispanic","HSG/GED","SBP<120","Underweight","Smoke",0
"39","Male","45-64","Hispanic","HSG/GED","SBP<120","Underweight","Smoke",0
"40","Female","45-64","Hispanic","HSG/GED","SBP<120","Underweight","Smoke",0
"41","Male","64+","Hispanic","HSG/GED","SBP<120","Underweight","Smoke",0
