"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"AUXWBR_J","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 19 YEARS",NA,NA
"AUXWBR_J","WBXFEAR","WBXFEAR","Ear tested","The ear which was tested.","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Right Ear"", ""Left Ear"", ""Missing""]; Count=[""2851"", ""2831"", ""0""]; Cumulative=[""2851"", ""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"AUXWBR_J","WBXF015","WBXF015","Frequency Array Data Point 015","Frequency Array Data Point 015","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""545.2539 to 545.2539"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF016","WBXF016","Frequency Array Data Point 016","Frequency Array Data Point 016","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""561.231 to 561.231"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF017","WBXF017","Frequency Array Data Point 017","Frequency Array Data Point 017","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""577.6763 to 577.6763"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF018","WBXF018","Frequency Array Data Point 018","Frequency Array Data Point 018","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""594.6036 to 594.6036"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF019","WBXF019","Frequency Array Data Point 019","Frequency Array Data Point 019","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""629.9605 to 629.9605"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF020","WBXF020","Frequency Array Data Point 020","Frequency Array Data Point 020","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""648.4198 to 648.4198"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF021","WBXF021","Frequency Array Data Point 021","Frequency Array Data Point 021","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""667.4199 to 667.4199"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF022","WBXF022","Frequency Array Data Point 022","Frequency Array Data Point 022","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""686.9768 to 686.9768"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF023","WBXF023","Frequency Array Data Point 023","Frequency Array Data Point 023","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""707.1068 to 707.1068"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF024","WBXF024","Frequency Array Data Point 024","Frequency Array Data Point 024","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""727.8266 to 727.8266"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF025","WBXF025","Frequency Array Data Point 025","Frequency Array Data Point 025","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""749.1535 to 749.1535"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF026","WBXF026","Frequency Array Data Point 026","Frequency Array Data Point 026","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""771.1054 to 771.1054"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF027","WBXF027","Frequency Array Data Point 027","Frequency Array Data Point 027","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""793.7005 to 793.7005"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF028","WBXF028","Frequency Array Data Point 028","Frequency Array Data Point 028","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""816.9577 to 816.9577"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF029","WBXF029","Frequency Array Data Point 029","Frequency Array Data Point 029","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""840.8964 to 840.8964"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF030","WBXF030","Frequency Array Data Point 030","Frequency Array Data Point 030","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""865.5366 to 865.5366"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF031","WBXF031","Frequency Array Data Point 031","Frequency Array Data Point 031","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""890.8987 to 890.8987"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF032","WBXF032","Frequency Array Data Point 032","Frequency Array Data Point 032","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""917.004 to 917.004"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF033","WBXF033","Frequency Array Data Point 033","Frequency Array Data Point 033","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""943.8743 to 943.8743"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF034","WBXF034","Frequency Array Data Point 034","Frequency Array Data Point 034","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""971.5319 to 971.5319"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF035","WBXF035","Frequency Array Data Point 035","Frequency Array Data Point 035","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1000 to 1000"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF036","WBXF036","Frequency Array Data Point 036","Frequency Array Data Point 036","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1029.3022 to 1029.3022"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF037","WBXF037","Frequency Array Data Point 037","Frequency Array Data Point 037","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1059.4631 to 1059.4631"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF038","WBXF038","Frequency Array Data Point 038","Frequency Array Data Point 038","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1090.5077 to 1090.5077"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF039","WBXF039","Frequency Array Data Point 039","Frequency Array Data Point 039","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1122.462 to 1122.462"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF040","WBXF040","Frequency Array Data Point 040","Frequency Array Data Point 040","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1155.3527 to 1155.3527"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF041","WBXF041","Frequency Array Data Point 041","Frequency Array Data Point 041","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1189.2071 to 1189.2071"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF042","WBXF042","Frequency Array Data Point 042","Frequency Array Data Point 042","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1224.0535 to 1224.0535"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF043","WBXF043","Frequency Array Data Point 043","Frequency Array Data Point 043","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1259.921 to 1259.921"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF044","WBXF044","Frequency Array Data Point 044","Frequency Array Data Point 044","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1296.8396 to 1296.8396"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF045","WBXF045","Frequency Array Data Point 045","Frequency Array Data Point 045","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1334.8399 to 1334.8399"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF046","WBXF046","Frequency Array Data Point 046","Frequency Array Data Point 046","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1373.9536 to 1373.9536"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF047","WBXF047","Frequency Array Data Point 047","Frequency Array Data Point 047","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1414.2136 to 1414.2136"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF048","WBXF048","Frequency Array Data Point 048","Frequency Array Data Point 048","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1455.6532 to 1455.6532"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF049","WBXF049","Frequency Array Data Point 049","Frequency Array Data Point 049","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1498.3071 to 1498.3071"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF050","WBXF050","Frequency Array Data Point 050","Frequency Array Data Point 050","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1542.2108 to 1542.2108"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF051","WBXF051","Frequency Array Data Point 051","Frequency Array Data Point 051","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1587.4011 to 1587.4011"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF052","WBXF052","Frequency Array Data Point 052","Frequency Array Data Point 052","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1633.9155 to 1633.9155"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF053","WBXF053","Frequency Array Data Point 053","Frequency Array Data Point 053","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1681.7928 to 1681.7928"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF054","WBXF054","Frequency Array Data Point 054","Frequency Array Data Point 054","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1731.0731 to 1731.0731"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF055","WBXF055","Frequency Array Data Point 055","Frequency Array Data Point 055","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1781.7974 to 1781.7974"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF056","WBXF056","Frequency Array Data Point 056","Frequency Array Data Point 056","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1834.0081 to 1834.0081"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF057","WBXF057","Frequency Array Data Point 057","Frequency Array Data Point 057","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1887.7486 to 1887.7486"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF058","WBXF058","Frequency Array Data Point 058","Frequency Array Data Point 058","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""1943.0639 to 1943.0639"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF059","WBXF059","Frequency Array Data Point 059","Frequency Array Data Point 059","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""2000 to 2000"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF060","WBXF060","Frequency Array Data Point 060","Frequency Array Data Point 060","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""2058.6045 to 2058.6045"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF061","WBXF061","Frequency Array Data Point 061","Frequency Array Data Point 061","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""2118.9262 to 2118.9262"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF062","WBXF062","Frequency Array Data Point 062","Frequency Array Data Point 062","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""2181.0155 to 2181.0155"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF063","WBXF063","Frequency Array Data Point 063","Frequency Array Data Point 063","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""2244.9241 to 2244.9241"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF064","WBXF064","Frequency Array Data Point 064","Frequency Array Data Point 064","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""2310.7054 to 2310.7054"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF065","WBXF065","Frequency Array Data Point 065","Frequency Array Data Point 065","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""2378.4142 to 2378.4142"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF066","WBXF066","Frequency Array Data Point 066","Frequency Array Data Point 066","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""2448.1071 to 2448.1071"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF067","WBXF067","Frequency Array Data Point 067","Frequency Array Data Point 067","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""2519.8421 to 2519.8421"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF068","WBXF068","Frequency Array Data Point 068","Frequency Array Data Point 068","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""2593.6791 to 2593.6791"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF069","WBXF069","Frequency Array Data Point 069","Frequency Array Data Point 069","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""2669.6797 to 2669.6797"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF070","WBXF070","Frequency Array Data Point 070","Frequency Array Data Point 070","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""2747.9073 to 2747.9073"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF071","WBXF071","Frequency Array Data Point 071","Frequency Array Data Point 071","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""2828.4271 to 2828.4271"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF072","WBXF072","Frequency Array Data Point 072","Frequency Array Data Point 072","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""2911.3064 to 2911.3064"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
"AUXWBR_J","WBXF073","WBXF073","Frequency Array Data Point 073","Frequency Array Data Point 073","Both males and females 6 YEARS - 19 YEARS",NA,"Code.or.Value=[""2996.6142 to 2996.6142"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5682"", ""0""]; Cumulative=[""5682"", ""5682""]; Skip.to.Item=[""NA"", ""NA""]"
