ID1,NAME1,ID2,NAME2,ID3,NAME3
1,ANTI-INFECTIVES,2,AMEBICIDES,NA,NA
1,ANTI-INFECTIVES,3,ANTHELMINTICS,NA,NA
1,ANTI-INFECTIVES,4,ANTIFUNGALS,235,POLYENES
1,ANTI-INFECTIVES,4,ANTIFUNGALS,236,AZOLE ANTIFUNGALS
1,ANTI-INFECTIVES,4,ANTIFUNGALS,237,MISCELLANEOUS ANTIFUNGALS
1,ANTI-INFECTIVES,5,ANTIMALARIAL AGENTS,238,ANTIMALARIAL QUINOLINES
1,ANTI-INFECTIVES,5,ANTIMALARIAL AGENTS,239,MISCELLANEOUS ANTIMALARIALS
1,ANTI-INFECTIVES,5,ANTIMALARIAL AGENTS,328,ANTIMALARIAL COMBINATIONS
1,ANTI-INFECTIVES,6,ANTITUBERCULOSIS AGENTS,232,RIFAMYCIN DERIVATIVES
1,ANTI-INFECTIVES,6,ANTITUBERCULOSIS AGENTS,234,MISCELLANEOUS ANTITUBERCULOSIS AGENTS
1,ANTI-INFECTIVES,6,ANTITUBERCULOSIS AGENTS,329,ANTITUBERCULOSIS COMBINATIONS
1,ANTI-INFECTIVES,6,ANTITUBERCULOSIS AGENTS,457,HYDRAZIDE DERIVATIVES
1,ANTI-INFECTIVES,7,ANTIVIRAL AGENTS,175,PROTEASE INHIBITORS
1,ANTI-INFECTIVES,7,ANTIVIRAL AGENTS,176,NRTIS
1,ANTI-INFECTIVES,7,ANTIVIRAL AGENTS,177,MISCELLANEOUS ANTIVIRALS
1,ANTI-INFECTIVES,7,ANTIVIRAL AGENTS,227,NNRTIS
1,ANTI-INFECTIVES,7,ANTIVIRAL AGENTS,228,ADAMANTANE ANTIVIRALS
1,ANTI-INFECTIVES,7,ANTIVIRAL AGENTS,229,PURINE NUCLEOSIDES
1,ANTI-INFECTIVES,7,ANTIVIRAL AGENTS,281,NEURAMINIDASE INHIBITORS
1,ANTI-INFECTIVES,7,ANTIVIRAL AGENTS,327,ANTIVIRAL COMBINATIONS
1,ANTI-INFECTIVES,7,ANTIVIRAL AGENTS,330,ANTIVIRAL INTERFERONS
1,ANTI-INFECTIVES,7,ANTIVIRAL AGENTS,364,ANTIVIRAL CHEMOKINE RECEPTOR ANTAGONIST
1,ANTI-INFECTIVES,7,ANTIVIRAL AGENTS,366,INTEGRASE STRAND TRANSFER INHIBITOR
1,ANTI-INFECTIVES,7,ANTIVIRAL AGENTS,480,ANTIVIRAL BOOSTERS
1,ANTI-INFECTIVES,7,ANTIVIRAL AGENTS,485,NS5A INHIBITORS
1,ANTI-INFECTIVES,9,CEPHALOSPORINS,159,FIRST GENERATION CEPHALOSPORINS
1,ANTI-INFECTIVES,9,CEPHALOSPORINS,160,SECOND GENERATION CEPHALOSPORINS
1,ANTI-INFECTIVES,9,CEPHALOSPORINS,161,THIRD GENERATION CEPHALOSPORINS
1,ANTI-INFECTIVES,9,CEPHALOSPORINS,492,CEPHALOSPORINS/BETA-LACTAMASE INHIBITORS
1,ANTI-INFECTIVES,10,LEPROSTATICS,NA,NA
1,ANTI-INFECTIVES,11,MACROLIDE DERIVATIVES,304,MACROLIDES
1,ANTI-INFECTIVES,11,MACROLIDE DERIVATIVES,305,KETOLIDES
1,ANTI-INFECTIVES,12,MISCELLANEOUS ANTIBIOTICS,NA,NA
1,ANTI-INFECTIVES,13,PENICILLINS,222,PENICILLINASE RESISTANT PENICILLINS
1,ANTI-INFECTIVES,13,PENICILLINS,223,ANTIPSEUDOMONAL PENICILLINS
1,ANTI-INFECTIVES,13,PENICILLINS,224,AMINOPENICILLINS
1,ANTI-INFECTIVES,13,PENICILLINS,225,PENICILLINS/BETA-LACTAMASE INHIBITORS
1,ANTI-INFECTIVES,13,PENICILLINS,226,NATURAL PENICILLINS
1,ANTI-INFECTIVES,14,QUINOLONES,NA,NA
1,ANTI-INFECTIVES,15,SULFONAMIDES,NA,NA
1,ANTI-INFECTIVES,16,TETRACYCLINES,NA,NA
1,ANTI-INFECTIVES,17,URINARY ANTI-INFECTIVES,NA,NA
1,ANTI-INFECTIVES,18,AMINOGLYCOSIDES,NA,NA
1,ANTI-INFECTIVES,240,LINCOMYCIN DERIVATIVES,NA,NA
1,ANTI-INFECTIVES,406,GLYCOPEPTIDE ANTIBIOTICS,NA,NA
20,ANTINEOPLASTICS,21,ALKYLATING AGENTS,NA,NA
20,ANTINEOPLASTICS,23,ANTIMETABOLITES,NA,NA
20,ANTINEOPLASTICS,24,ANTINEOPLASTIC HORMONES,NA,NA
20,ANTINEOPLASTICS,25,MISCELLANEOUS ANTINEOPLASTICS,NA,NA
20,ANTINEOPLASTICS,26,MITOTIC INHIBITORS,NA,NA
20,ANTINEOPLASTICS,324,ANTINEOPLASTIC INTERFERONS,NA,NA
20,ANTINEOPLASTICS,383,ANTINEOPLASTIC DETOXIFYING AGENTS,NA,NA
